,DIFF_PROFIT_MARGIN,DIFF_REVENUE_GROWTH,DIFF_EARNINGS_GROWTH,DIFF_CASH_AMOUNT,DIFF_DEBT_AMOUNT,DIFF_CASH_FLOW,DIFF_STOCK_PRICE
0,0.21152721748022996,0.16491510719882865,0.6101347393087289,0.07032819423730403,0.0962113497355227,0.0,0.7288488210818307
1,0.4157040334650957,0.1503637753542008,0.6091095489162274,0.2210791048181206,0.49199134306478287,0.0,0.40360610263522856
2,0.6378775941431567,0.147130144860143,0.5329525483304043,0.09630876689193399,0.8503327331676327,0.0,0.3564493758668519
3,0.4931067411037792,0.17299918209082088,0.5222612770943176,0.0,0.8020397670109409,0.0,0.49075358298659255
4,0.6276872647973109,0.0,0.7039396602226129,0.18847306749229317,0.0,0.0,0.3444290337494222
5,0.8008641688244549,0.22231203272998273,0.0,0.11734286887840141,0.5940377172790099,0.0,0.4338881183541379
6,0.0,0.19563459328453822,0.6107205623901583,1.0,0.34282688511347514,0.0,1.0
7,1.0,1.0000000000000002,0.7136057410661982,0.15841146834540834,0.9999999999999999,0.0,0.9103097549699481
8,0.14447060629524855,0.26030717300198725,1.0,0.07928866742894843,0.45660942315629427,0.0,0.08044382801664396
9,0.7131966345274725,0.15521421950518793,0.6051552431165789,0.04801018522902776,0.44679901651511256,0.0,0.0
10,0.7839532788976202,0.29021825361443065,0.23594024604569436,0.10023785690115138,0.9973260993010175,0.0,0.34165510864540005
